solution.name,solution.number,nozzle,orifice.size,pressure,rep,dv10,dv50,dv90,rs,fines (<200),density,viscosity,ph,conductivity,surface.tension
water,1,ULD,0.5,50,1,283.45,547.32,841.27,1.02,3.45,0.99871,1.001,7.78,769,
water,1,ULD,0.5,50,2,282.02,545.83,844.1,1.03,3.47,0.99872,1,7.81,771,
water,1,ULD,0.5,50,3,283.9,549,849.01,1.03,3.43,0.99872,1,7.77,774,
water,1,TTI,0.3,50,1,312.84,649.08,1004.55,1.07,2.7,0.99871,1.001,7.78,769,
water,1,TTI,0.3,50,2,316.61,650.94,1008.41,1.06,2.61,0.99872,1,7.81,771,
water,1,TTI,0.3,50,3,306.9,650.55,1012.14,1.08,2.98,0.99872,1,7.77,774,
water,1,TTI,0.4,50,1,314.17,660.78,1034.28,1.09,2.7,0.99871,1.001,7.78,769,
water,1,TTI,0.4,50,2,315.73,663.15,1033.88,1.08,2.69,0.99872,1,7.81,771,
water,1,TTI,0.4,50,3,310.95,665.43,1045.61,1.1,2.85,0.99872,1,7.77,774,
water,1,TTI,0.5,50,1,308.08,658.95,1043.99,1.12,2.86,0.99871,1.001,7.78,769,
water,1,TTI,0.5,50,2,313.68,670.52,1061.01,1.11,2.68,0.99872,1,7.81,771,
water,1,TTI,0.5,50,3,306.57,662.97,1053.18,1.13,2.94,0.99872,1,7.77,774,
water,1,TTI,0.6,50,1,280.18,622.45,1019.81,1.19,3.88,0.99871,1.001,7.78,769,
water,1,TTI,0.6,50,2,281.9,619.05,985.3,1.14,3.82,0.99872,1,7.81,771,
water,1,TTI,0.6,50,3,278.95,624.56,1028.6,1.2,3.98,0.99872,1,7.77,774,
water,1,AI80,0.3,60,1,295.45,594.7,906.44,1.03,3.34,0.99871,1.001,7.78,769,
water,1,AI80,0.3,60,2,297,600.44,912.2,1.02,3.33,0.99872,1,7.81,771,
water,1,AI80,0.3,60,3,297.58,599.43,909.24,1.02,3.3,0.99872,1,7.77,774,
water,1,AI110,0.3,60,1,262.47,529.07,809.35,1.03,4.8,0.99871,1.001,7.78,769,
water,1,AI110,0.3,60,2,262.53,530.48,812.16,1.04,4.81,0.99872,1,7.81,771,
